date,4919,2441,6531,2458,3532,3034,2330,2379,2451,2481
2018-03-06,56.7,43.05,90.12,33.44,116.89,90.47,216.3,92.0,59.05,33.32
2018-03-07,54.97,42.97,87.9,33.55,116.46,90.12,213.71,91.6,59.05,33.36
2018-03-08,55.2,42.97,96.33,33.97,117.76,90.82,215.87,91.6,59.4,35.88
2018-03-09,55.91,43.27,90.12,34.16,119.49,91.52,216.73,92.41,60.96,34.77
2018-03-12,57.41,43.35,90.12,34.27,122.09,91.86,219.76,96.86,60.96,35.48
2018-03-13,58.27,43.5,91.45,34.5,120.36,94.31,224.09,96.86,61.18,35.17
2018-03-14,57.41,43.35,90.56,34.73,118.62,96.76,222.36,97.27,61.03,35.57
2018-03-15,60.4,43.2,95.0,34.61,118.62,96.41,220.63,99.7,60.82,35.04
2018-03-16,59.14,42.9,104.32,34.16,119.06,97.45,220.63,99.3,60.18,34.95
2018-03-19,59.38,42.9,104.77,34.46,119.49,96.41,220.63,99.7,60.89,35.7
2018-03-20,58.35,42.9,103.88,34.01,119.92,94.66,218.9,100.92,60.68,35.08
2018-03-21,58.67,42.9,103.44,34.84,116.46,93.61,218.46,101.32,60.4,37.07
2018-03-22,58.27,42.82,93.23,34.23,111.7,95.36,217.6,100.92,59.9,36.19
2018-03-23,56.7,42.59,86.83,33.36,107.8,92.91,211.98,97.67,60.33,34.86
2018-03-26,56.15,42.29,91.01,33.63,113.0,94.31,210.68,99.7,60.61,37.24
2018-03-27,56.62,42.37,90.56,34.42,110.83,94.66,217.17,100.11,60.75,40.95
2018-03-28,56.15,42.14,91.45,34.16,106.5,90.47,211.98,102.13,60.4,41.04
2018-03-29,55.68,41.91,94.11,33.59,108.67,92.21,211.11,101.73,60.96,42.67
2018-03-30,56.07,42.14,90.56,33.78,106.5,92.21,212.84,104.56,61.32,43.69
2018-03-31,56.23,43.27,89.23,33.59,101.74,92.56,214.14,105.38,61.25,43.95
2018-04-02,54.81,42.9,92.34,34.01,103.47,91.86,213.27,101.32,61.03,44.66
2018-04-03,54.57,42.59,91.01,33.48,103.47,89.77,211.11,103.75,61.39,48.98
2018-04-09,56.23,42.29,87.01,33.48,101.74,91.17,211.98,104.56,62.31,47.66
2018-04-10,54.81,42.59,86.3,33.4,101.74,91.17,212.41,104.97,61.74,46.25
2018-04-11,54.34,42.44,82.66,33.4,100.01,90.12,214.57,105.38,61.53,50.57
