stock_id,NumberOfSharesIssued,price,market_cap,EPS,PE_ratio,IncomeAfterTaxes,equity,ROE(%),TotalAssets,ROA(%),sum
2330,25930380458.0,498.5,12926294658313.0,10.83,46.02954755309326,280968407000.0,2752316159000.0,10.208435033207971,4643301766000.0,6.051047749197699,1.6870524669982145
3034,608511469.0,297.0,180727906293.0,7.07,42.008486562942004,4305080000.0,61301496000.0,7.022797616554088,94935457000.0,4.534744063011146,1.5486646035522527
2379,512863641.0,333.0,170783592453.0,8.2,40.60975609756098,4207037000.0,46637411000.0,9.020734448573913,134435593000.0,3.1294071057506327,2.882569810746998
3532,387848300.0,160.0,62055728000.0,3.99,40.100250626566414,1544500000.0,23783809000.0,6.493913569521181,34090829000.0,4.530543977091317,1.433362881445945
4919,419765268.0,123.5,51841010598.0,2.26,54.64601769911505,945210000.0,16444100000.0,5.74801904634489,35101945000.0,2.6927567688912966,2.134622448172901
6531,161935246.0,206.5,33439628299.0,4.33,47.6905311778291,697988000.0,10893207000.0,6.407552890530768,11734077000.0,5.948384350980482,1.0771921436910177
2451,429061675.0,67.9,29133287732.500004,1.12,60.625,483694000.0,19430498000.0,2.48935462179096,21449320000.0,2.25505517191221,1.1038996530094083
2441,568845921.0,50.2,28556065234.2,1.07,46.91588785046729,609807000.0,20627786000.0,2.956240674592998,25262901000.0,2.4138439207753692,1.224702495944063
2458,303880392.0,92.7,28169712338.4,1.83,50.65573770491803,488442000.0,9091902000.0,5.3722752400982765,14160057000.0,3.4494352671037976,1.5574361668218597
2481,382814927.0,65.6,25112659211.199997,1.12,58.57142857142856,435926000.0,14947566000.0,2.9163677885750765,29862588000.0,1.4597730109660958,1.9978227893424254
