,stock_id,NumberOfSharesIssued,price,market_cap,EPS,PE_ratio,IncomeAfterTaxes,equity,ROE(%),TotalAssets,ROA(%)
38,3413,96647546.0,193.5,18701300151.0,8.21,23.568818514007305,790759000.0,10441803000.0,7.573012055485054,19131675000.0,4.133244998150972
39,8131,442222223.0,39.55,17489888919.649998,1.42,27.852112676056336,626817000.0,12410865000.0,5.050550465257659,14432609000.0,4.343060911578773
40,2340,438622846.0,37.75,16558012436.5,0.24,157.29166666666669,106004000.0,8590123000.0,1.2340219109784576,10857794000.0,0.9762940796261191
41,6202,226168200.0,72.1,16306727219.999998,0.99,72.82828282828282,229437000.0,4711281000.0,4.869949383193233,6974147000.0,3.2898216799846636
42,6515,34544000.0,449.5,15527528000.0,10.79,41.65894346617239,368845000.0,3282622000.0,11.23629220787529,5035599000.0,7.324749250287802
43,2401,591994919.0,25.2,14918271958.8,0.03,840.0,85846000.0,11797613000.0,0.727655670685248,15002644000.0,0.5722058058566211
44,6756,68487000.0,216.5,14827435500.0,2.01,107.71144278606967,137505000.0,3134922000.0,4.38623353308312,3888128000.0,3.5365348054385044
45,3545,216381650.0,68.0,14713952200.0,-13.55,-5.0184501845018445,-2770234000.0,8800818000.0,-31.477005887407284,22634845000.0,-12.23880260721909
46,8261,117340493.0,114.5,13435486448.5,1.81,63.25966850828729,239335000.0,5412329000.0,4.4220334720967625,6542271000.0,3.658286243416086
47,2363,749589356.0,17.65,13230252133.4,-0.22,-80.22727272727272,-100321000.0,13793210000.0,-0.7273216314403972,13903833000.0,-0.721534845822731
48,8081,86172072.0,152.0,13098154944.0,5.2,29.23076923076923,453629000.0,7064455000.0,6.421287983290997,9095863000.0,4.987201324382305
49,4968,90168906.0,130.0,11721957780.0,1.1,118.18181818181817,97307000.0,2453003000.0,3.9668520584768956,3644296000.0,2.670117904802464
50,3014,161080124.0,72.4,11662200977.6,1.94,37.31958762886598,311414000.0,5138281000.0,6.060665035641297,6359440000.0,4.896877712502987
